Pos,ORB,AST,eFG%,BLK,3P,STL,TOV,TRB,3PA
PG,1.8,10.4,0.489,0.3,1.3,2.0,4.3,7.8,4.3
C,0.6,0.2,0.648,0.4,0.0,0.4,0.4,1.6,0.1
PG,0.6,6.2,0.488,0.1,2.0,1.1,2.7,3.0,5.7
PG,0.3,0.3,0.423,0.0,0.1,0.1,0.0,0.7,0.6
PF,0.8,1.5,0.547,0.3,1.4,0.1,1.3,5.1,3.7
C,3.4,1.5,0.5589999999999999,2.2,0.0,0.7,1.9,11.0,0.0
PF,0.4,1.6,0.47,0.3,0.0,0.7,0.4,3.9,0.0
PF,0.5,1.9,0.41200000000000003,0.2,0.3,0.4,0.7,2.5,1.2
PG,0.5,3.2,0.45399999999999996,0.0,0.3,0.6,1.3,2.2,0.9
PF,2.0,1.1,0.498,0.4,2.0,0.6,1.4,6.0,5.4
SG,0.1,1.0,0.521,0.1,0.9,0.4,0.5,1.7,2.8
PF,0.9,1.5,0.518,0.7,2.0,0.9,1.5,5.5,5.2
SF,1.5,0.8,0.529,0.5,0.2,0.6,1.2,4.9,0.5
PF,0.7,0.4,0.455,0.1,0.0,0.1,0.7,1.7,0.3
PG,0.3,2.2,0.5660000000000001,0.0,0.1,0.4,0.9,1.3,0.2
PF,1.2,1.4,0.498,0.7,0.6,0.8,0.9,4.2,1.7
SG,0.4,1.4,0.47700000000000004,0.1,0.9,0.6,0.7,2.4,2.3
PG,0.6,3.3,0.478,0.2,1.6,1.2,2.5,3.4,4.6
SG,0.3,1.7,0.541,0.3,0.8,0.6,0.9,2.3,1.8
SG,0.6,4.2,0.507,0.2,1.8,1.7,2.3,3.8,4.6
SG,0.6,4.4,0.469,0.3,0.2,1.0,2.1,4.9,1.0
SG,0.1,1.1,0.45799999999999996,0.1,0.9,0.3,0.2,2.1,2.8
SF,0.6,1.9,0.513,0.1,0.4,0.6,1.4,3.2,1.1
SF,0.4,1.4,0.513,0.2,0.8,0.5,1.2,2.2,2.4
SF,0.3,1.6,0.488,0.4,0.2,0.8,0.8,3.1,0.5
PG,0.1,2.4,0.43200000000000005,0.1,0.5,0.5,1.4,0.9,1.6
SF,0.7,1.0,0.505,0.2,0.4,0.6,0.6,2.8,1.3
PG,0.3,3.6,0.486,0.1,0.8,0.7,1.8,2.5,2.4
PG,0.6,0.9,0.302,0.0,0.2,0.2,0.5,1.6,0.7
SF,0.8,1.6,0.428,0.2,0.9,0.8,1.6,4.2,2.8
PG,0.3,2.1,0.484,0.0,0.3,0.5,1.0,1.6,0.8
SG,0.2,1.4,0.525,0.1,1.3,0.7,0.7,1.1,3.6
PF,0.7,0.3,0.563,0.1,0.0,0.2,0.4,2.3,0.0
SG,0.1,1.9,0.457,0.0,1.3,0.5,1.2,1.7,4.4
C,2.3,2.4,0.535,0.6,0.4,1.0,1.3,7.0,1.1
SG,0.8,4.0,0.46299999999999997,0.3,0.6,1.0,2.2,4.5,1.8
PG,0.6,6.5,0.44,0.3,0.7,1.1,2.3,4.0,2.2
PG,0.2,1.1,0.5,0.0,0.5,0.1,0.7,0.9,1.0
PF,0.8,0.0,0.409,0.1,0.0,0.0,0.0,2.0,0.1
C,2.7,0.8,0.613,1.1,0.0,0.5,1.1,6.7,0.0
PG,0.2,3.4,0.496,0.1,0.9,0.4,1.4,1.5,2.6
SF,0.0,0.0,0.75,0.0,0.7,0.0,0.3,0.3,0.7
SG,0.4,1.2,0.515,0.1,0.6,0.6,0.8,1.7,1.6
SG,0.0,1.5,0.33299999999999996,0.0,0.0,1.5,1.0,1.0,0.5
PG,0.5,2.5,0.45799999999999996,0.3,0.9,0.9,0.7,3.5,2.7
C,2.8,2.0,0.512,1.7,0.0,0.8,2.4,7.8,0.2
PF,0.7,0.4,0.542,0.2,0.0,0.2,0.4,1.4,0.0
SG,0.5,2.7,0.503,0.2,2.0,0.9,1.6,3.4,5.7
PG,0.1,1.1,0.494,0.0,0.3,0.2,0.5,0.8,0.8
C,2.8,2.3,0.522,0.8,0.0,0.9,1.6,8.8,0.0
PG,0.5,8.7,0.42700000000000005,0.1,0.8,2.1,2.5,4.3,2.5
PG,0.4,4.3,0.542,0.1,1.2,1.0,1.8,2.3,2.9
PF,0.5,1.2,0.517,0.6,0.4,0.5,0.9,2.2,1.2
SF,0.7,1.0,0.518,0.4,0.7,0.5,0.5,3.0,2.2
PG,0.0,1.4,0.545,0.0,0.0,0.3,0.5,0.6,0.2
PF,0.4,0.0,0.583,0.4,0.8,0.2,0.6,2.0,1.2
SF,0.4,0.1,0.583,0.3,0.1,0.2,0.2,1.8,0.5
PG,0.2,1.5,0.5670000000000001,0.1,1.1,0.5,0.8,1.4,2.5
C,1.6,0.1,0.575,0.8,0.0,0.1,0.6,3.9,0.0
C,1.7,2.3,0.629,1.6,0.0,0.5,1.2,7.0,0.0
C,1.9,1.0,0.53,0.9,0.0,0.8,0.9,6.2,0.1
PF,0.6,0.4,0.644,0.3,0.0,0.3,0.4,1.7,0.0
PG,0.9,6.7,0.63,0.2,5.1,2.1,3.3,5.4,11.2
PG,0.7,4.7,0.44799999999999995,0.2,0.7,0.7,2.7,3.4,2.3
SG,1.2,4.8,0.485,0.6,1.0,1.6,2.0,5.3,3.1
SF,0.5,1.3,0.519,0.1,1.6,0.4,1.5,3.2,4.3
SG,0.7,1.9,0.5379999999999999,0.2,1.4,1.3,1.3,2.9,3.9
PG,0.3,2.3,0.483,0.1,1.4,0.5,1.3,1.8,4.0
PF,1.2,0.9,0.45899999999999996,0.3,0.0,0.3,0.8,2.9,0.0
PF,1.9,2.4,0.499,0.5,2.1,0.8,1.8,9.9,5.7
SF,0.4,2.7,0.546,0.0,2.0,1.2,1.7,2.8,4.9
SF,0.5,1.8,0.486,0.2,1.1,0.9,0.8,2.7,3.2
SG,0.3,1.1,0.541,0.1,0.3,0.4,1.0,1.7,0.9
PF,0.3,0.4,0.385,0.1,0.0,0.1,0.1,2.0,0.2
PF,0.9,1.8,0.5479999999999999,0.7,0.0,0.6,0.9,4.0,0.1
SG,0.7,5.1,0.48200000000000004,0.4,2.3,1.2,3.4,3.9,6.8
C,2.5,0.6,0.5820000000000001,1.2,0.0,0.8,0.8,6.4,0.0
PG,0.2,0.8,0.25,0.0,0.2,0.0,0.2,0.8,0.8
C,1.1,0.7,0.516,0.4,0.0,0.4,0.7,3.8,0.0
PG,0.2,1.5,0.428,0.2,0.4,0.3,0.6,1.1,1.0
C,1.1,0.7,0.501,1.4,0.1,0.4,1.1,5.5,0.2
C,1.1,0.8,0.45799999999999996,0.5,0.3,0.3,0.9,3.3,0.9
SG,0.4,1.5,0.45299999999999996,0.2,0.6,0.6,0.9,2.0,2.0
C,2.8,2.0,0.555,1.7,0.4,0.7,2.2,10.5,1.1
PG,0.3,7.4,0.434,0.2,1.0,1.1,2.9,4.3,3.2
C,0.7,0.6,0.505,0.4,0.1,0.3,0.3,2.9,0.3
SF,0.2,0.3,0.5529999999999999,0.2,0.9,0.2,0.3,1.0,2.2
SF,0.4,0.9,0.45399999999999996,0.2,0.1,0.5,0.4,1.9,0.3
SG,0.1,0.7,0.469,0.0,0.5,0.2,0.5,1.2,1.3
SG,0.4,2.6,0.48,0.3,1.3,0.6,2.1,2.5,3.8
SG,0.2,1.1,0.465,0.4,0.7,0.6,0.7,1.7,2.0
PF,0.7,2.1,0.581,0.2,1.2,0.9,1.0,3.5,2.9
SF,0.3,0.7,0.389,0.2,0.7,0.5,0.5,2.4,2.4
SF,1.1,2.3,0.478,0.3,1.2,0.7,1.5,5.6,4.1
PG,0.3,2.6,0.47100000000000003,0.1,1.0,0.4,1.2,1.5,2.7
SG,0.6,4.3,0.517,0.3,2.5,1.2,2.5,3.2,5.9
PG,0.5,2.1,0.444,0.2,0.4,0.5,1.8,2.5,1.7
SF,0.9,1.7,0.47,0.5,0.8,0.7,1.2,4.2,2.7
SG,0.3,1.2,0.528,0.0,1.0,0.5,0.7,2.1,2.5
C,0.0,1.0,0.5,0.0,0.0,0.0,1.5,4.0,0.0
SF,1.3,0.9,0.522,0.4,0.5,0.6,0.8,3.6,1.8
SG,0.3,1.0,0.295,0.2,0.1,0.4,0.5,1.8,0.6
SF,0.3,1.0,0.45399999999999996,0.3,0.9,0.3,0.8,3.1,2.4
PG,0.3,4.2,0.552,0.1,1.2,0.9,1.2,3.2,2.8
PG,0.9,5.2,0.466,0.8,0.3,1.5,2.8,5.1,1.0
PF,0.5,1.0,0.569,0.4,1.3,0.4,0.6,3.3,3.4
PG,0.2,2.9,0.41,0.1,0.4,0.8,0.9,1.3,1.4
SF,0.4,0.6,0.441,0.3,0.4,0.5,0.6,1.9,1.4
SF,0.5,0.7,0.537,0.1,1.4,0.2,0.7,2.4,3.2
C,1.3,0.6,0.413,0.4,0.0,0.2,0.5,2.9,0.0
SF,0.8,3.7,0.493,0.3,1.8,1.2,2.5,5.0,5.1
PF,3.3,0.8,0.588,0.6,0.0,0.5,0.7,9.0,0.0
C,1.3,0.9,0.53,0.3,0.2,0.2,0.9,4.9,0.9
SG,0.0,0.2,0.5,0.0,0.2,0.2,0.3,0.0,0.3
SG,0.3,1.0,0.502,0.2,0.7,0.6,0.7,2.3,1.8
PG,0.5,10.0,0.517,0.2,1.6,2.1,2.6,4.2,4.4
PF,1.5,4.9,0.504,0.5,0.2,0.8,2.4,8.4,0.5
SF,1.2,1.0,0.474,0.2,1.8,1.7,1.1,4.7,4.5
SG,0.3,0.8,0.441,0.3,0.5,0.4,0.8,1.7,1.7
PG,0.0,1.4,0.34,0.1,0.1,0.4,1.1,0.9,1.0
SF,0.3,0.8,0.536,0.3,1.8,0.7,0.6,2.5,4.6
C,0.5,1.1,0.431,0.5,0.0,0.5,0.6,3.7,0.1
PG,0.6,2.2,0.469,0.0,0.5,0.9,0.8,1.9,1.6
SF,1.3,1.6,0.541,0.4,1.3,1.4,0.9,5.2,3.6
SG,0.3,3.1,0.516,0.2,1.5,0.8,1.9,2.8,3.9
C,2.7,1.0,0.583,0.7,0.0,0.5,1.4,8.7,0.0
SF,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5
SF,1.5,6.8,0.551,0.6,1.1,1.4,3.3,7.4,3.7
PG,0.2,1.9,0.475,0.1,0.6,0.6,0.8,1.5,1.9
PF,0.8,0.2,0.45299999999999996,0.4,0.2,0.3,0.1,2.2,0.6
PF,1.2,0.4,0.441,0.3,0.1,0.3,0.6,3.9,0.6
PF,0.9,2.4,0.52,0.6,1.5,0.7,1.5,7.4,4.2
SG,0.1,1.1,0.425,0.1,0.3,0.3,0.7,1.4,1.4
C,1.1,0.4,0.537,1.0,0.0,0.4,0.5,3.4,0.0
SG,0.4,2.1,0.569,0.6,3.5,0.8,1.7,3.8,8.1
PG,0.3,2.3,0.42200000000000004,0.1,0.3,0.7,1.1,1.9,1.3
SG,0.2,0.6,0.385,0.2,0.6,0.4,0.4,1.3,2.1
PG,0.3,1.8,0.361,0.0,0.1,0.3,0.6,1.4,0.8
C,1.8,0.4,0.5329999999999999,0.3,0.0,0.3,0.9,6.1,0.0
C,1.9,2.7,0.488,1.3,0.0,0.8,1.5,7.3,0.0
PF,2.7,1.5,0.515,1.5,0.0,1.2,1.7,8.1,0.1
SF,1.5,1.7,0.5,0.7,1.1,1.4,2.0,6.5,3.1
SF,0.2,0.8,0.564,0.2,0.9,0.4,0.6,1.7,2.3
PG,0.5,4.9,0.43799999999999994,0.1,1.1,0.6,1.7,2.9,3.7
SF,0.5,1.3,0.439,0.2,0.7,1.0,1.0,2.4,2.7
PF,0.4,0.6,0.397,0.2,0.2,0.3,0.7,2.1,0.6
SF,0.2,0.4,0.35,0.2,0.2,0.1,0.5,1.5,0.9
SG,0.4,0.8,0.46299999999999997,0.3,1.2,0.6,0.7,2.4,3.8
PG,0.5,3.0,0.5379999999999999,0.3,0.0,0.7,1.0,2.2,0.2
C,2.2,0.4,0.532,0.9,0.0,0.5,0.6,5.4,0.0
PF,2.4,2.3,0.45299999999999996,0.6,0.4,0.9,1.3,8.3,1.3
C,4.9,0.8,0.522,1.4,0.0,1.5,1.9,14.8,0.1
SG,0.8,6.6,0.486,0.3,1.3,1.3,2.9,5.2,3.4
C,1.3,0.4,0.556,0.5,0.1,0.6,0.3,3.6,0.5
SG,0.6,0.3,0.294,0.4,0.3,0.4,0.6,2.1,1.4
SF,1.3,1.8,0.44799999999999995,1.6,0.5,0.7,1.4,4.7,1.9
SF,0.4,0.7,0.45,0.3,0.6,0.3,0.3,1.5,1.9
C,0.4,0.1,0.6,0.6,0.0,0.1,0.1,1.1,0.0
PG,1.1,6.4,0.456,0.3,0.4,1.2,2.4,3.6,1.3
SF,0.3,0.6,0.449,0.1,0.2,0.5,0.2,1.3,1.1
SG,0.5,3.1,0.465,0.3,0.4,0.8,1.3,2.6,1.4
PF,0.0,0.0,0.6,0.0,0.8,0.2,0.4,0.2,1.8
PG,0.1,3.3,0.41,0.2,0.2,0.8,1.4,1.3,0.8
PG,0.3,5.8,0.47700000000000004,0.2,1.5,0.9,2.3,2.9,4.3
SF,1.3,2.6,0.565,1.0,1.8,1.8,1.5,6.8,4.0
SG,0.6,1.7,0.444,0.4,0.8,1.0,1.1,3.8,2.7
SF,0.6,3.9,0.509,0.0,1.5,0.8,2.0,3.6,3.9
C,2.2,4.1,0.48100000000000004,2.0,0.3,0.6,2.3,11.0,1.0
PF,1.1,1.9,0.45799999999999996,0.5,0.7,0.9,2.1,5.5,2.4
C,2.0,0.7,0.5479999999999999,1.1,0.0,0.4,0.8,5.6,0.0
SG,0.4,0.9,0.528,0.1,1.3,0.4,1.0,1.8,3.7
SF,0.4,0.6,0.441,0.2,1.1,0.5,0.6,2.6,3.7
SF,0.7,1.0,0.485,0.2,0.4,0.5,0.7,2.3,1.3
SG,0.3,1.1,0.431,0.1,0.9,0.5,1.0,2.0,2.5
PG,0.2,1.6,0.473,0.0,0.5,0.3,0.7,1.5,1.3
SF,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
SF,2.0,2.2,0.469,0.2,0.8,1.3,1.4,6.2,2.5
